Legislation names
Accountants Act, AA2004
Misrepresentation Act, MA1967
Missions Étrangères Ordinance, MEO1891
Misuse of Drugs Act, MDA1973
Monetary Authority of Singapore Act, MASA1970
Moneylenders Act, MA2008
Motor Vehicles (Third-Party Risks and Compensation) Act, MVTPRCA1960
Multi-Level Marketing and Pyramid Selling (Prohibition) Act, MLMPSPA1973
Multimodal Transport Act 2021, MTA2021
Mutual Assistance in Criminal Matters Act, MACMA2000
Mutual Benefit Organisations Act, MBOA1960
Nanyang Polytechnic Act, NPA1992
Nanyang Technological University (Corporatisation) Act, NTUCA2005
National Arts Council Act, NACA1991
National Cadet Corps Act, NCCA1972
National Council of Social Service Act, NCSSA1992
National Emblems (Control of Display) Act, NECDA1949
National Environment Agency Act, NEAA2002
National Heritage Board Act, NHBA1993
National Library Board Act, NLBA1995
National Parks Board Act, NPBA1996
National Productivity Fund Act, NPFA2010
National Registration Act, NRA1965
National Registry of Diseases Act, NRDA2007
National Research Fund Act, NRFA2006
National Servicemen (Employment) Act, NSEA1970
National University of Singapore (Corporatisation) Act, NUSCA2005
Newspaper and Printing Presses Act, NPPA1974
Ngee Ann Kongsi (Incorporation) Ordinance, NAKIO1933
Ngee Ann Polytechnic Act, NAPA1967
Notaries Public Act, NPA1959
Nurses and Midwives Act, NMA1999
Oaths and Declarations Act, ODA2000
Official Secrets Act, OSA1935
Optometrists and Opticians Act, OOA2007
Organised Crime Act 2015, OCA2015
Parking Places (Surcharge) Act, PPSA1975
Parking Places Act, PPA1974
Parks and Trees Act, PTA2005
Parliament (Privileges, Immunities and Powers) Act, PPIPA1962
Parliamentary Elections (COVID-19 Special Arrangements) Act 2020, PECOVID19SAA2020
Parliamentary Elections Act, PEA1954
Parliamentary Pensions (Abolition) Act 2012, PPAA2012
Parliamentary Pensions Act, PPA1978
Partnership Act, PA1890
Passports Act, PA2007
Patents Act, PA1994
Pawnbrokers Act 2015, PA2015
Payment and Settlement Systems (Finality and Netting) Act, PSSFNA2002
Payment Services Act 2019, PSA2019
Payroll Tax Act, PTA1965
Penal Code, PC1871
Pension Fund Act, PFA1995
Pensions (Expatriate Officers) Act, PEOA1976
Pensions Act, PA1956
People’s Association Act, PAA1960
Personal Data Protection Act 2012, PDPA2012
Pharmacists Registration Act, PRA2007
Pioneer Generation and Merdeka Generation Funds  Act 2014, PGMGFA2014
Planning Act, PA1998
Plant Varieties Protection Act, PVPA2004
Point-to-Point Passenger Transport Industry Act 2019, PPPTIA2019
Poisons Act, PA1938
Police Force Act, PFA2004
Policies of Assurance Act, PAA1867
Political Donations Act, PDA2000
Portuguese Missions Ordinance, PMO1910
Post Office Savings Bank of Singapore (Transfer of Undertakings and Dissolution) Act, POSBSTUDA1998
Postal Services Act, PSA1999
Precious Stones and Precious Metals (Prevention of Money Laundering and Terrorism Financing) Act 2019, PSPMPMLTFA2019
Presbyterian Church of England Mission Ordinance, PCEMO1903
Presbyterian Church Ordinance, PCO1876
Preservation of Monuments Act, PMA2009
Presidential Elections Act, PrEA1991
Prevention of Corruption Act, PCA1960
Prevention of Human Trafficking Act 2014, PHTA2014
Prevention of Pollution of the Sea Act, PPSA1990
Price Control Act, PCA1950
Prisons Act, PA1933
Private Education Act, PEA2009
Private Hospitals and Medical Clinics Act, PHMCA1980
Private Lotteries Act, PLA2011
Private Security Industry Act, PSIA2007
Probate and Administration Act, PAA1934
Probation of Offenders Act, POA1951
Professional Engineers Act, PEA1991
Property Tax Act, PTA1960
Protection from Harassment Act, PHA2014
Protection from Online Falsehoods and Manipulation Act 2019, POFMA2019
Public Entertainments Act, PEA1958
Public Order Act, POA2009
Public Order and Safety (Special Powers) Act 2018, POSSPA2018
Public Sector (Governance) Act 2018, PSGA2018
Public Service (Monthly Variable Component and Non-pensionable Annual Allowance) Act, PSMVCNAAA1988
Public Service Commission and Legal Service Commission Act, PSCLSCA1956
Public Transport Council Act, PTCA1987
Public Trustee Act, PTA1915
Public Utilities Act, PUA2001
Radiation Protection Act, RPA2007
Railways Act, RA1905
Rapid Transit Systems Act, RTSA1995
Reciprocal Enforcement of Commonwealth Judgments Act, RECJA1921
Reciprocal Enforcement of Foreign Judgments Act, REFJA1959
Redemptorist Fathers Ordinance, RFO1948
Registered Designs Act, RDA2000
Registration of Births and Deaths Act, RBDA1937
Registration of Criminals Act, RCA1949
Registration of Deeds Act, RDA1988
Regulation of Imports and Exports Act, RIEA1995
Remote Gambling Act 2014, RGA2014
Republic of Singapore Independence Act, RSIA1965
Republic Polytechnic Act, RPA2002
Requisition of Resources Act, RRA1985
Residential Property Act, RPA1976
Resource Sustainability Act 2019, RSA2019
Retirement and Re-employment Act, RRA1993
Revised Edition of the Laws Act, RELA1983
Revised Supplementary Supply (FY 2020) Act 2020, RSSFY2020A2020
Road Traffic Act, RTA1961
Road Vehicles (Special Powers) Act, RVSPA1960
Roman Catholic Archbishop Act, RCAA1975
Rubber Industry Act, RIA1992
Saint Andrew’s Mission Hospital Ordinance, SAMHO1934
Sale of Commercial Properties Act, SCPA1979
Sale of Drugs Act, SDA1914
Sale of Food Act, SFA1973
Sale of Goods (United Nations Convention) Act, SGUNCA1995
Sale of Goods Act, SGA1979
Salvation Army Ordinance, SAO1939
Sand and Granite Quarries Act, SGQA1970
Scheut Missions Ordinance, SMO1938
School Boards (Incorporation) Act, SBIA1990
School Crossing Patrols Act, SCPA1955
Science Centre Act, ScCA1970
Second Supplementary Supply (FY 2020) Act 2020, SSSFY2020A2020
Secondhand Goods Dealers Act, SGDA2007
Secretary of the Synod of the Diocese of Singapore Ordinance, SSDSO1959
Securities and Futures Act, SFA2001
Sedition Act, SA1948
Sentosa Development Corporation Act, SDCA1972
Service Lands Act, SLA1963
Settled Estates Act, SEA1934
Sewerage and Drainage Act, SDA1999
Shared Mobility Enterprises (Control and Licensing) Act 2020, SMECLA2020
Significant Infrastructure Government Loan Act 2021, SIGLA2021
Silver Support Scheme Act 2015, SSSA2015
Singapore Academy of Law Act, SALA1988
Singapore Accountancy Commission Act, SACA2013
Singapore Armed Forces Act, SAFA1972
Singapore Arms and Flag and National Anthem Act, SAFNAA1959
Singapore Business Federation Act, SBFA2001
Singapore Convention on Mediation Act 2020, SCMA2020
Singapore Corporation of Rehabilitative Enterprises Act, SCREA1975
Singapore Examinations and Assessment Board Act, SEABA2003
Singapore Food Agency Act 2019, SFAA2019
Singapore Institute of Technology Act, SITA2014
Singapore Labour Foundation Act, SLFA1977
Singapore Land Authority Act, SLAA2001
Singapore Management University Act, SMUA2000
Singapore Polytechnic Act, SPA1954
Singapore Railway Transfer Ordinance, SRTO1918
Singapore Red Cross Society Act, SRCSA1973
Singapore Sports Council Act, SSCA1973
Singapore Totalisator Board Act, STBA1987
Singapore Tourism (Cess Collection) Act, STCCA1972
Singapore Tourism Board Act, STBA1963
Singapore University of Social Sciences Act 2017, SUSSA2017
Singapore University of Technology and Design Act, SUTDA2011
Skills Development Levy Act, SDLA1979
SkillsFuture Singapore Agency Act 2016, SSAA2016
Small Claims Tribunals Act, SCTA1984
Small Motorised Vehicles (Safety) Act 2020, SMVSA2020
Smoking (Prohibition in Certain Places) Act, SPCPA1992
Societies Act, SA1966
Society of Saint Maur Incorporation Ordinance, SSMIO1923
Spam Control Act, SCA2007
Stamp Duties Act, SDA1929
State Courts Act, SCA1970
State Immunity Act, SIA1979
State Lands Act, SLA1920
State Lands Encroachments Act, SLEA1883
States of Malaya Customs Duties Collection Act, SMCDCA1958
Statistics Act, SA1973
Status of Children (Assisted Reproduction Technology) Act, SCARTA2013
Statute Law Reform Act 2021, SLRA2021
Statutory Boards (Taxable Services) Act, SBTSA1968
Statutory Bodies and Government Companies (Protection of Secrecy) Act, SBGCPSA1983
Statutory Corporations (Contributions to Consolidated Fund) Act, SCCCFA1989
Straits Settlements and Johore Territorial Waters (Agreement) Act 1928, SSJTWAA1928
Strategic Goods (Control) Act, SGCA2002
Street Works Act, SWA1995
Sultan Hussain Ordinance, SHO1904
Supplementary Supply (FY 2016) Act 2017, SSFY2016A2017
Supplementary Supply (FY 2017) Act 2018, SSFY2017A2018
Supplementary Supply (FY 2018) Act 2019, SSFY2018A2019
Supplementary Supply (FY 2019) Act 2020, SSFY2019A2020
Supplementary Supply and Budget Adjustments (FY 2021) Act 2021, SSBAFY2021A2021
Supply Act 2016, SA2016
Supply Act 2017, SA2017
Supply Act 2018, SA2018
Supply Act 2019, SA2019
Supply Act 2020, SA2020
Supply Act 2021, SA2021
Supply of Goods Act, SGA1982
Supreme Court of Judicature Act, SCJA1969
Telecommunications Act, TA1999
Temasek Polytechnic Act, TPA1990
Termination of Pregnancy Act, TPA1974
Terrorism (Suppression of Bombings) Act, TSBA2007
Terrorism (Suppression of Financing) Act, TSFA2002
Terrorism (Suppression of Misuse of Radioactive Material) Act 2017, TSMRMA2017
The Kwong-Wai-Shiu Free Hospital (Transfer of Undertaking and Dissolution) Act 2017, TKWSFHTUDA2017
Third Parties (Rights Against Insurers) Act, TPRAIA1930
Third Supplementary Supply and Budget Adjustments (FY 2020) Act 2020, TSSBAFY2020A2020
Tobacco (Control of Advertisements and Sale) Act, TCASA1993
Tokyo Convention Act, TCA1971
Town Councils Act, TCA1988
Trade Disputes Act, TDA1941
Trade Marks Act, TMA1998
Trade Unions Act, TUA1940
Traditional Chinese Medicine Practitioners Act, TCMPA2000
Transboundary Haze Pollution Act 2014, THPA2014
Travel Agents Act, TAA1975
Treasurer of Presbyterian Church, Singapore Ordinance, TPCSO1899
Treasury Deposit Receipts Act, TDRA1960
Trust Companies Act, TCA2005
Trustees Act, TA1967
Undesirable Publications Act, UPA1967
Unfair Contract Terms Act, UCTA1977
United Nations Act, UNA2001
United Nations Personnel Act, UNPA2011
Urban Redevelopment Authority Act, URAA1989
Vandalism Act, VA1966
Variable Capital Companies Act 2018, VCCA2018
Victoria Theatre Act, VTA1903
Vigilante Corps Act, VCA1967
Visiting Forces Act, VFA1960
Voluntary Sterilization Act, VSA1974
Vulnerable Adults Act 2018, VAA2018
Weights and Measures Act, WMA1975
Wholesome Meat and Fish Act, WMFA1999
Widows’ and Orphans’ Pension Act, WOPA1904
Wildlife Act, WA1965
Wills Act, WA1838
Women’s Charter, WC1961
Work Injury Compensation Act 2019, WICA2019
Workforce Singapore Agency Act, WSAA2003
Workplace Safety and Health Act, WSHA2006
